Serie 1: 10 elementos.

1.a	20	30	5	8	15	9	6	3	2	1

1.b	1	2	3	4	5	6	7	8	9	10

1.c	10	9	8	7	6	5	4	3	2	1

Serie 2: 20 elementos.

2.a	7	6	4	2	1	10	15	12	8	3	20	50	66	33	22	45	89	90	43	31

2.b	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20

2.c	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1

Serie 3: 50 elementos.

3.a	99	3	2	75	45	33	22	11	10	1	9	82	54	44	31	12	15	66	21	6	8	57	39	49	90
	85	69	77	65	92	38	23	4	5	98	91	73	36	58	17	41	19	20	76	35	48	13	50	60	40

3.b	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50

3.c	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26
	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1

Serie 4: 100 elementos.

4.a	99	3	2	75	45	33	22	11	10	1	9	82	36	58	17	41	19	20	76	35	48	13	50	60	40
	100	62	32	74	52	8	78	47	81	27	65	56	68	86	29	63	72	53	83	16	79	42	88	18	64
	37	48	67	26	46	80	61	25	70	51	84	28	92	85	69	77	65	92	87	23	4	5	98	91	73
	54	44	31	12	15	66	21	6	8	57	39	49	90	71	34	55	24	89	38	59	7	43	14	76	30

4.b	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100

4.c	100	99	98	97	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76
	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	53	52	51
	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26
	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
